NAME,neighbourhood_group,lat,long,cancellation_policy,room type,price,service fee,number of reviews,review rate number
Beautiful & Tranquil Oasis in a Great Location,Brooklyn,40.7165,-73.94842,strict,Entire home/apt,112.0,22.0,99,3.0
Full studio in the heart of Queens!,Queens,40.75875,-73.81117,strict,Entire home/apt,336.0,67.0,6,3.0
"Big Room, Refinished Place - 35 min to Times Sq.",Manhattan,40.86859,-73.91948,flexible,Private room,966.0,193.0,30,4.0
Garden Studio @ Bleecker & West 11th!,Manhattan,40.73489,-74.00642,moderate,Entire home/apt,709.0,142.0,3,4.0
Peaceful/White room/Neat&Clean,Queens,40.61092,-73.76805,flexible,Private room,262.0,52.0,6,3.0
BRIGHT LUXURIOUS MASTER BEDROOM,Queens,40.77295,-73.90512,flexible,Private room,402.0,80.0,100,2.0
"Lovely studio in East Village, NY",Manhattan,40.725,-73.98851,flexible,Entire home/apt,270.0,54.0,1,1.0
3 bedroom with chef's kitchen/private back patio,Manhattan,40.72383,-73.97671,flexible,Entire home/apt,871.0,174.0,14,4.0
A lovely room in heart of NY,Manhattan,40.72007,-73.98775,flexible,Private room,430.0,86.0,36,1.0
Cozy but Cool:Huge 1bed in ❤️of NY,Manhattan,40.76016,-73.96597,flexible,Entire home/apt,134.0,27.0,5,4.0
"Charming Studio / East Village, NYC",Manhattan,40.72816,-73.98035,moderate,Entire home/apt,476.0,95.0,18,3.0
Private Bedroom in Queens at St. John's University,Queens,40.71987,-73.79816,strict,Private room,104.0,21.0,30,4.0
Studio Apartment | UES 74th St 2 minutes walk from Q Line,Manhattan,40.77127,-73.9576,flexible,Entire home/apt,99.0,20.0,1,2.0
"Quiet one bedroom in LES, Great location!",Manhattan,40.71947,-73.98638,strict,Entire home/apt,147.0,29.0,24,4.0
Roomy and Comftable Room,Manhattan,40.84844,-73.93611,moderate,Private room,548.0,110.0,2,5.0
Art Life in the City – from Brooklyn to Manhattan,Brooklyn,40.71228,-73.93782,strict,Private room,131.0,26.0,3,5.0
Rare gem of an apartment in NYC.  So Spacious!,Manhattan,40.83856,-73.94411,strict,Private room,918.0,184.0,23,5.0
Alexander,Manhattan,40.86414,-73.92537,flexible,Private room,464.0,93.0,1,2.0
NEWLY RENOVATED STUDIO APARTMENT IN HARLEM,Manhattan,40.81702,-73.93882,flexible,Entire home/apt,314.0,63.0,11,4.0
Tropical Style Apartment in BK (cat lovers),Brooklyn,40.68993,-73.93721,strict,Entire home/apt,221.0,44.0,1,3.0
Quiet room with exposed brick,Manhattan,40.7865,-73.94406,moderate,Private room,730.0,146.0,7,2.0
QUEENS 2 BEDROOM APT w/ wifi-modern amenities,Queens,40.73565,-73.89511,strict,Entire home/apt,664.0,133.0,12,2.0
*Private room with new bedroom set and mattress,Queens,40.70927,-73.82948,moderate,Private room,956.0,191.0,5,4.0
Large Private Chic and Cosy Room in Hells Kitchen,Manhattan,40.76073,-73.99032,moderate,Private room,992.0,198.0,1,2.0
521 West 48th-2 bedroom near Times Square,Manhattan,40.76411,-73.99371,flexible,Entire home/apt,669.0,134.0,9,4.0
Sunny Room in Clinton Hill Brooklyn,Brooklyn,40.68118,-73.96126,strict,Private room,72.0,14.0,15,1.0
Luxury basement apartment in newly built house,Queens,40.7392,-73.79181,flexible,Entire home/apt,407.0,81.0,1,2.0
"Near Jamaica Hosp, Subway F,E, Airtrain, JFK, LIRR",Queens,40.70583,-73.81535,strict,Private room,914.0,183.0,68,2.0
BROOKLYN DREAM ART STUDIO,Brooklyn,40.68335,-73.94319,moderate,Entire home/apt,605.0,121.0,6,2.0
Huge private room in a Brooklyn Brownstone,Brooklyn,40.67818,-73.94709,moderate,Private room,308.0,62.0,1,5.0
Full size bed,Brooklyn,40.65752,-73.89313,flexible,Private room,604.0,121.0,27,4.0
New location 1st FL. Brooklyn NYC / TV,Brooklyn,40.70045,-73.92973,strict,Private room,497.0,99.0,31,2.0
Elegant Villa in the Heart of Manhattan!,Manhattan,40.7431,-73.98137,moderate,Entire home/apt,505.0,101.0,4,5.0
Comfortable Private ROOM,Brooklyn,40.63367,-73.97423,strict,Private room,612.0,122.0,1,5.0
Your Heaven in Hells Kitchen,Manhattan,40.75979,-73.99119,strict,Private room,646.0,129.0,191,1.0
"Modern apt private bed, bath, close to everything.",Queens,40.75616,-73.83157,strict,Entire home/apt,873.0,175.0,92,5.0
A neat bedroom in a cozy 3-bedroom apartment,Manhattan,40.76127,-73.95034,flexible,Private room,150.0,30.0,46,5.0
Modern Loft Studio with Views,Manhattan,40.7363,-73.98691,flexible,Entire home/apt,509.0,102.0,37,5.0
LARGE 2 BEDROOM APT NEAR CENTRAL PARK,Manhattan,40.78815,-73.9436,moderate,Entire home/apt,420.0,84.0,12,2.0
Modern & Bright Queen Bedroom Midtown East,Manhattan,40.76132,-73.96064,strict,Private room,141.0,28.0,1,3.0
Private Apartment In Heart Of Brooklyn,Brooklyn,40.69294,-73.96001,flexible,Private room,382.0,76.0,1,2.0
Homestead: Home Away from Home,Queens,40.65928,-73.75783,strict,Entire home/apt,59.0,12.0,45,3.0
I LOVE BROOKLYN PRIVATE 1-BR APT,Brooklyn,40.64801,-73.95623,moderate,Entire home/apt,210.0,42.0,51,2.0
Monty,Brooklyn,40.66383,-73.92706,strict,Shared room,900.0,180.0,7,5.0
A Modern Studio in the heart of Midtown West,Manhattan,40.75654,-74.00012,moderate,Entire home/apt,136.0,27.0,5,5.0
