,Id,Title,review/score,Combined,new_url_id
0,1852309040,The Complete Illustrated Guide to Chinese Medicine: A Comprehensive System for Health and Fitness,5.0,"The Complete Illustrated Guide to Chinese Medicine: A Comprehensive System for Health and Fitness This beautifully illustrated, full-color book explains the basic principles of Chinese medicine, the causes of disharmony in the body that lead to disease and the Chinese approach to diagnosis and treatment. Tom Williams HarperThorsons Health & Fitness",XMMFAAAACAAJ
1,B000NSKB12,The Castle in the Attic,5.0,"The Castle in the Attic The classic children's story about a young boy, his toy castle, and a magical adventure that reveals the true meaning of courage When his beloved caretaker Mrs. Phillips tells him she's leaving, William is devastated. Not even her farewell gift of a model medieval castle helps him feel better—though he has to admit it's fascinating. From the working drawbridge and portcullis to the fully-furnished rooms, it's perfect in every detail. It almost seems magical. And when William looks at the silver knight, the tiny figure comes to life in his hand—and tells him a tale of a wicked sorcerer, a vicious dragon, and a kingdom in need of a hero. Hoping the castle's magic will help him find a way to make his friend stay, William embarks on a daring quest with Sir Simon, the Silver Knight—but he will have to face his own doubts and regrets if he's going to succeed. William's story continues in The Battle for the Castle, available as a redesigned companion edition. An IRA-CBC Children's Choice A California Young Reader Medal Winner A Dorothy Canfield Fisher Children's Book Award Winner Nominated for 23 State Book Awards Elizabeth Winthrop Holiday House Juvenile Fiction",G3zRDwAAQBAJ
2,0141011890,Outposts,5.0,"Outposts The New York Times bestselling author of Krakatoa and The Professor and the Madman takes readers on a quirky and charming tour of the last outpost of the British empire Originally published in 1985, Outposts is Simon Winchester’s journey to find the vanishing empire, “on which the sun never sets.” In the course of a three-year, 100,000 mile journey—from the chill of the Antarctic to the blue seas of the Caribbean, from the South of Spain and the tip of China to the utterly remote specks in the middle of gale-swept oceans—he discovered such romance and depravity, opulence and despair tht he was inspired to write what may be the last contemporary account of the British empire. Written with Winchester’s captivating style and breadth, here are conversations and anecdotes, myths and political analysis, scenery and history—a poignant and colorful record of the lingering beat of what was once the heart of the civilized world. Simon Winchester Harper Collins History",M_L7MyV44rUC
3,9687968486,Tu Beb: desde la Concepcin hasta los 12 meses (Spanish Edition),5.0,"Tu Beb: desde la Concepcin hasta los 12 meses (Spanish Edition) Een hoog IQ biedt geen garantie op een gelukkig leven; minstens even belangrijk is het EQ, het ‘emotiequotiënt’. In 'Emotionele intelligentie' laat Daniel Goleman ons kennismaken met het voelende deel van ons brein, dat zorgt voor zelfbeheersing, zelfkennis, geestdrift en het vermogen eigen emoties te herkennen en onszelf te motiveren. Emotionele vaardigheden blijken niet alleen belangrijker te zijn dan rationele, ze zijn ook van doorslaggevend belang voor succes in relaties en werk en voor ons lichamelijk welbevinden. 'Emotionele intelligentie' werd in veertig talen vertaald; wereldwijd zijn er vijf miljoen exemplaren van verkocht. Daniel Goleman Business Contact Business & Economics",10cvAgAAQBAJ
4,0595162053,Kenny Doin' Just Fine,5.0,"Kenny Doin' Just Fine KENNY DOIN' JUST FINE Miriam Greenfield, a proud and intellectual young woman, is stuck in the Los Angeles ghetto of Boyle Heights, where poverty and responsibility to her family stiffle all her personal ambitions and lead her further and further away from her dream of achieving a life in the world of literature. When her husband Alex is caught by the IRS in a shady business deal, Miriam is forced to go to work. Despite her vehement dislike of government charity she enters into a career as a Social Worker and gravitates to the one area where she feels she can do some good...Aid to Dependent Children. There she meets thirteen-year old Kenny Ray James the emotionally disturbed son of a drug addicted mother. Raised by an uncaring Aunt and an abusive Uncle, Kenny has become dangerously violent and is unwanted wherever Miriam places him. Psychiatric evaluations diagnose him as mentally underdeveloped and psychotic. But Miriam has seen a loving and intelligent side to Kenny and something about him reminds her of her own son. Miriam becomes determined to change the course of Kenny's life before her imminent retirement from the Department. Sadie Wernick Hurwitz iUniverse Fiction",D6WgitXrr8sC
5,0553344021,Lifetimes: The Beautiful Way to Explain Death to Children,5.0,"Lifetimes: The Beautiful Way to Explain Death to Children When the death of a relative, a friend, or a pet happens or is about to happen . . . how can we help a child to understand? Lifetimes is a moving book for children of all ages, even parents too. It lets us explain life and death in a sensitive, caring, beautiful way. Lifetimes tells us about beginnings. And about endings. And about living in between. With large, wonderful illustrations, it tells about plants. About animals. About people. It tells that dying is as much a part of living as being born. It helps us to remember. It helps us to understand. Lifetimes . . . a very special, very important book for you and your child. The book that explains—beautifully—that all living things have their own special Lifetimes. Bryan Mellonie Bantam Family & Relationships",hjape1uPX_AC
6,0975533118,Beauty & Submission,5.0,"Beauty & Submission ""This book is as seductive as the phenomenon that it explores. With courage, love, and joy, Frueh crosses into unexplored terrains of beauty and pleasure, where she finds a grotesquely captivating creature: Monster/Beauty. By illuminating her journey with thoughtful insight and engaging prose, she encourages readers to join her in her quest to articulate fresh ways of thinking about the aesthetic and the erotic and of theorizing the flux of lived experience."" —John Alan Farmer, senior editor of Art Journal ""Monster/Beauty is a daringly provocative experiment in personal and erotic writing and an important book for anyone interested in breaking normative codes of beauty, pedagogy, and authorial methodology. In a richly self-revealing text, Frueh proposes nothing less than a Rabellaisian re-ordering of aesthetic embodiments within social relations."" —Mira Schor, author of Wet: On Painting, Feminism, and Art Culture ""Giving new meaning to ""embodied writing,"" this book goes farther than any other toward getting the body into the text. Joanna Frueh is a performance artist first-she is also an art historian, a singer, a poet, a bodybuilder, a professor, an academic celebrity of modest fame, but her performances collapse these distinctions. Frueh's intensely personal, intensely physical prose brings an aura of presence to the book that rivals the effect she achieves on stage."" —Robyn Warhol, co-editor of Feminisms ""This book is monstrous--full of gorgeous hypermuscular women, step-mothers, and vampires; full of ravishing muscular sex, classroom erotics, splendid aging. It is a performance in which Frueh explores and celebrates her body, its powers and beauties, and those of her friends and lovers."" —Alphonso Lingis, author of Excesses, Abuses, and Dangerous Emotions ""A welcome voice in contemporary feminist theory, Frueh's Monster/Beauty reminds us of the pleasures of thinking, teaching and creating in wholly embodied, sensual and passionate acts. Frueh poetically enacts the self as an aesthetic/erotic project, affirming the many different and beautiful selves we can become. It is a joy to read."" —Marsha Meskimmon, author of We Weren't Modern Enough: Women Artists and the Limits of German Modernism ""Joanna Frueh is a hero. I sleep better knowing she's out there writing and thinking."" —Michael Cunningham, author of The Hours Joanna Frueh Univ of California Press Art",7ySOZ7nRV7UC
7,B000P0XGRE,THE SHADOW IN THE GLASS,4.0,THE SHADOW IN THE GLASS A deliciously gothic story of wishes and curses – a new dark fairy tale set against a Victorian backdrop full of lace and smoke. ‘Deliciously dark’ Woman Magazine JJA Harwood HarperCollins UK Fiction,Z9_yDwAAQBAJ
8,1841192279,Honour the Dead,5.0,"Honour the Dead The unveiling of a new memorial stirs up deep emotions in a remote North Pennines village as the people honour their war dead. However, pride is in short supply at the ceremony as anger spills over and deep-rooted tensions rise to the surface. That night, the memorial is vandalized and an elderly war veteran is murdered, apparently by thieves after his Victoria Cross. Are the incidents connected? When Detective Chief Inspector Jack Harris is called in to investigate, he and his team discover a world of secrets and a conspiracy that stretches across the globe... John Dean Ulverscroft Fiction",EPEwngEACAAJ
9,0963487167,Remembering Herbie: Celebrating the Life and Times of Hockey Legend Herb Brooks,5.0,"Remembering Herbie: Celebrating the Life and Times of Hockey Legend Herb Brooks A collection of interviews in which friends, co-workers, and relatives of hockey coach Herb Brooks reflect on his life, career, and accomplishments. Ross Bernstein Bernstein Books Sports & Recreation",Z14EAAAACAAJ
