Upcoming Games,Release Date
<a href='https://www.gamespot.com/games/star-wars-outlaws/' target='_blank'>Star Wars Outlaws</a>,2024-08-27
<a href='https://www.gamespot.com/games/harry-potter-quidditch-champions/' target='_blank'>Harry Potter: Quidditch Champions</a>,2024-09-03
<a href='https://www.gamespot.com/games/dragon-age-the-veilguard/' target='_blank'>Dragon Age: The Veilguard</a>,2024-10-01
<a href='https://www.gamespot.com/games/indiana-jones-and-the-great-circle/' target='_blank'>Indiana Jones and the Great Circle</a>,2024-09-01
<a href='https://www.gamespot.com/games/mario-and-luigi-brothership/' target='_blank'>Mario & Luigi: Brothership</a>,2024-11-07
<a href='https://www.gamespot.com/games/silent-hill-2/' target='_blank'>Silent Hill 2</a>,2024-10-06
<a href='https://www.gamespot.com/games/dragon-ball-sparking-zero/' target='_blank'>Dragon Ball: Sparking Zero</a>,2024-10-08
<a href='https://www.gamespot.com/games/call-of-duty-black-ops-6/' target='_blank'>Call of Duty Black Ops 6</a>,2024-10-25
<a href='https://www.gamespot.com/games/assassins-creed-shadows/' target='_blank'>Assassin's Creed Shadows</a>,2024-11-12
<a href='https://www.gamespot.com/games/world-of-warcraft/' target='_blank'>World of Warcraft: The War Within</a>,2024-11-23
